"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"GAB","Zinc",NA,NA,NA,NA
"GBR","Calcium",NA,NA,NA,NA
"GBR","DHA+EPA",NA,NA,NA,NA
"GBR","Iron",NA,NA,NA,NA
"GBR","Vitamin A",NA,NA,NA,NA
"GBR","Vitamin B12",NA,NA,NA,NA
"GBR","Zinc",NA,NA,NA,NA
"GEO","Calcium",NA,NA,NA,NA
"GEO","DHA+EPA",NA,NA,NA,NA
"GEO","Iron",NA,NA,NA,NA
"GEO","Vitamin A",NA,NA,NA,NA
"GEO","Vitamin B12",NA,NA,NA,NA
"GEO","Zinc",NA,NA,NA,NA
"GHA","Calcium",NA,NA,NA,NA
"GHA","DHA+EPA",NA,NA,NA,NA
"GHA","Iron",NA,NA,NA,NA
"GHA","Vitamin A",NA,NA,NA,NA
"GHA","Vitamin B12",NA,NA,NA,NA
"GHA","Zinc",NA,NA,NA,NA
"GIN","Calcium",NA,NA,NA,NA
"GIN","DHA+EPA",NA,NA,NA,NA
"GIN","Iron",NA,NA,NA,NA
"GIN","Vitamin A",NA,NA,NA,NA
"GIN","Vitamin B12",NA,NA,NA,NA
"GIN","Zinc",NA,NA,NA,NA
"GLP","Calcium",56879.4159609117,54146.4035904584,1.05047449487365,2733.01237045336
"GLP","DHA+EPA",40.0069136743715,38.0846121153882,1.05047449487365,1.92230155898324
"GLP","Iron",329.503163073667,313.67078846907,1.05047449487365,15.8323746045969
"GLP","Vitamin A",10193.8248297386,9704.01935457241,1.05047449487365,489.805475166197
"GLP","Vitamin B12",213.595965912056,203.332843352609,1.05047449487365,10.2631225594466
"GLP","Zinc",28.1874362295801,26.8330515087568,1.05047449487365,1.35438472082322
"GMB","Calcium",NA,NA,NA,NA
"GMB","DHA+EPA",NA,NA,NA,NA
"GMB","Iron",NA,NA,NA,NA
"GMB","Vitamin A",NA,NA,NA,NA
"GMB","Vitamin B12",NA,NA,NA,NA
"GMB","Zinc",NA,NA,NA,NA
"GNB","Calcium",NA,NA,NA,NA
"GNB","DHA+EPA",NA,NA,NA,NA
"GNB","Iron",NA,NA,NA,NA
"GNB","Vitamin A",NA,NA,NA,NA
"GNB","Vitamin B12",NA,NA,NA,NA
"GNB","Zinc",NA,NA,NA,NA
"GNQ","Calcium",NA,NA,NA,NA
"GNQ","DHA+EPA",NA,NA,NA,NA
"GNQ","Iron",NA,NA,NA,NA
"GNQ","Vitamin A",NA,NA,NA,NA
"GNQ","Vitamin B12",NA,NA,NA,NA
"GNQ","Zinc",NA,NA,NA,NA
"GRC","Calcium",NA,NA,NA,NA
"GRC","DHA+EPA",NA,NA,NA,NA
"GRC","Iron",NA,NA,NA,NA
"GRC","Vitamin A",NA,NA,NA,NA
"GRC","Vitamin B12",NA,NA,NA,NA
"GRC","Zinc",NA,NA,NA,NA
"GRD","Calcium",293873.470069938,253906.769022514,1.15740699313093,39966.701047424
"GRD","DHA+EPA",446.18033764174,385.49994970634,1.15740699313093,60.6803879354005
"GRD","Iron",3141.83054073799,2714.54255882708,1.15740699313093,427.287981910916
"GRD","Vitamin A",62982.5124925847,54416.9102713031,1.15740699313093,8565.60222128156
"GRD","Vitamin B12",2182.10247981263,1885.33721738605,1.15740699313093,296.765262426577
"GRD","Zinc",468.064141866647,404.407563324353,1.15740699313093,63.6565785422934
"GRL","Calcium",NA,NA,NA,NA
"GRL","DHA+EPA",NA,NA,NA,NA
"GRL","Iron",NA,NA,NA,NA
"GRL","Vitamin A",NA,NA,NA,NA
"GRL","Vitamin B12",NA,NA,NA,NA
"GRL","Zinc",NA,NA,NA,NA
"GTM","Calcium",NA,NA,NA,NA
"GTM","DHA+EPA",NA,NA,NA,NA
"GTM","Iron",NA,NA,NA,NA
"GTM","Vitamin A",NA,NA,NA,NA
"GTM","Vitamin B12",NA,NA,NA,NA
"GTM","Zinc",NA,NA,NA,NA
"GUF","Calcium",NA,NA,NA,NA
"GUF","DHA+EPA",NA,NA,NA,NA
"GUF","Iron",NA,NA,NA,NA
"GUF","Vitamin A",NA,NA,NA,NA
"GUF","Vitamin B12",NA,NA,NA,NA
"GUF","Zinc",NA,NA,NA,NA
"GUM","Calcium",1202706.31532514,1130119.66583306,1.06422917119894,72586.6494920787
"GUM","DHA+EPA",3304.97332285467,3105.50905039688,1.06422917119894,199.464272457794
"GUM","Iron",10551.48843499,9914.67695167847,1.06422917119894,636.811483311527
"GUM","Vitamin A",730372.08777716,686292.114088865,1.06422917119894,44079.9736882952
"GUM","Vitamin B12",15121.8723976751,14209.2256131629,1.06422917119894,912.646784512184
"GUM","Zinc",3032.59927545032,2849.57352938734,1.06422917119894,183.025746062983
"GUY","Calcium",NA,NA,NA,NA
"GUY","DHA+EPA",NA,NA,NA,NA
"GUY","Iron",NA,NA,NA,NA
"GUY","Vitamin A",NA,NA,NA,NA
"GUY","Vitamin B12",NA,NA,NA,NA
"GUY","Zinc",NA,NA,NA,NA
"HKG","Calcium",NA,NA,NA,NA
"HKG","DHA+EPA",NA,NA,NA,NA
"HKG","Iron",NA,NA,NA,NA
"HKG","Vitamin A",NA,NA,NA,NA
"HKG","Vitamin B12",NA,NA,NA,NA
"HKG","Zinc",NA,NA,NA,NA
"HND","Calcium",49171.2320691525,43413.1499341519,1.13263451612551,5758.08213500056
"HND","DHA+EPA",76.1769277562477,67.256406785864,1.13263451612551,8.92052097038371
"HND","Iron",314.384064750754,277.568854096192,1.13263451612551,36.8152106545615
"HND","Vitamin A",8057.03875843129,7113.5380775721,1.13263451612551,943.500680859185
"HND","Vitamin B12",356.47695677555,314.732556442812,1.13263451612551,41.7444003327379
"HND","Zinc",36.5570448138805,32.2761175766866,1.13263451612551,4.28092723719397
"HRV","Calcium",NA,NA,NA,NA
"HRV","DHA+EPA",NA,NA,NA,NA
"HRV","Iron",NA,NA,NA,NA
"HRV","Vitamin A",NA,NA,NA,NA
"HRV","Vitamin B12",NA,NA,NA,NA
"HRV","Zinc",NA,NA,NA,NA
"HTI","Calcium",537021.730339286,479887.868310848,1.11905669178415,57133.8620284385
"HTI","DHA+EPA",2892.80079769027,2585.03507367279,1.11905669178415,307.765724017485
"HTI","Iron",2279.26066658994,2036.76961437587,1.11905669178415,242.491052214075
"HTI","Vitamin A",388937.442316066,347558.300818495,1.11905669178415,41379.1414975713
"HTI","Vitamin B12",10769.0981218784,9623.37136352658,1.11905669178415,1145.72675835182
"HTI","Zinc",1653.02456624899,1477.15891284606,1.11905669178415,175.865653402928
"IDN","Calcium",216029592.034624,184437441.223302,1.17128924909055,31592150.8113227
"IDN","DHA+EPA",283371.797865222,241931.528087742,1.17128924909055,41440.2697774798
"IDN","Iron",1463197.92295853,1249219.97200489,1.17128924909055,213977.950953641
"IDN","Vitamin A",33617756.1889758,28701498.1270239,1.17128924909055,4916258.06195189
"IDN","Vitamin B12",1637950.42253326,1398416.67957342,1.17128924909055,239533.742959839
"IDN","Zinc",195312.66769898,166750.158298328,1.17128924909055,28562.5094006518
"IND","Calcium",15363669.1983601,13604304.9640268,1.12932408079542,1759364.2343333
"IND","DHA+EPA",49273.5952728337,43631.0498560598,1.12932408079542,5642.54541677394
"IND","Iron",122921.868598429,108845.521572382,1.12932408079542,14076.3470260461
"IND","Vitamin A",7076878.89550523,6266473.03094854,1.12932408079542,810405.864556691
"IND","Vitamin B12",210395.115904088,186301.806082007,1.12932408079542,24093.3098220815
"IND","Zinc",43114.8098716107,38177.535221992,1.12932408079542,4937.27464961876
"IOT","Calcium",0,0,NA,0
"IOT","DHA+EPA",0,0,NA,0
"IOT","Iron",0,0,NA,0
"IOT","Vitamin A",0,0,NA,0
"IOT","Vitamin B12",0,0,NA,0
"IOT","Zinc",0,0,NA,0
"IRL","Calcium",NA,NA,NA,NA
"IRL","DHA+EPA",NA,NA,NA,NA
"IRL","Iron",NA,NA,NA,NA
"IRL","Vitamin A",NA,NA,NA,NA
"IRL","Vitamin B12",NA,NA,NA,NA
"IRL","Zinc",NA,NA,NA,NA
"IRN","Calcium",705413.200289385,662289.256270495,1.06511345852374,43123.9440188899
"IRN","DHA+EPA",4970.05338071479,4666.21967917233,1.06511345852374,303.833701542463
"IRN","Iron",6258.50470491903,5875.90425680413,1.06511345852374,382.600448114904
"IRN","Vitamin A",138035.1062497,129596.621979613,1.06511345852374,8438.4842700868
"IRN","Vitamin B12",19687.356892869,18483.8119688731,1.06511345852374,1203.54492399589
"IRN","Zinc",2064.53277732808,1938.32193256626,1.06511345852374,126.210844761816
"IRQ","Calcium",NA,NA,NA,NA
"IRQ","DHA+EPA",NA,NA,NA,NA
"IRQ","Iron",NA,NA,NA,NA
"IRQ","Vitamin A",NA,NA,NA,NA
"IRQ","Vitamin B12",NA,NA,NA,NA
"IRQ","Zinc",NA,NA,NA,NA
"ISL","Calcium",NA,NA,NA,NA
"ISL","DHA+EPA",NA,NA,NA,NA
"ISL","Iron",NA,NA,NA,NA
"ISL","Vitamin A",NA,NA,NA,NA
"ISL","Vitamin B12",NA,NA,NA,NA
"ISL","Zinc",NA,NA,NA,NA
"ISR","Calcium",4096.04277078943,3927.52230277029,1.0429075776095,168.520468019143
"ISR","DHA+EPA",18.7350980219278,17.9642936959683,1.0429075776095,0.770804325959535
