iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
JAM,331697.2945,457649.59,611375.9902,761245.7456,912613.7601,1072124.467,1237952.857,1376762.026,1515475.228,1630790.128,1717989.709,1790861.566,1853164.061,1907258.462,1958464.991,2001970.068,2040707.889,2076836.498,2115709.049,2157830.642,2194098.886,2232248.527,2268676.254,2311582.738,2357940.203,2397962.947,2435415.03,2473984.636,2508671.087,2545168.381
VNM,1528385.241,1992895.501,2389610.75,2759090.012,3109380.902,3416486.854,3731449.771,4029212.97,4401130.556,4733866.176,5127687.985,5535504.897,5955851.879,6329902.001,6691988.857,7004112.286,7309532.516,7606108.913,7897718.987,8192270.581,8491608.508,8812072.381,9193777.495,9612098.79,10080514.96,10574358.76,11005178.32,11452819.38,11845401.03,12239509.25
MYS,76983.88963,104888.807,124050.8879,160086.3119,223741.3701,302645.781,388083.5131,506554.7253,635534.131,741694.227,829016.7402,923053.3918,1015726.782,1112093.241,1198518.637,1282458.437,1367588.667,1451723.398,1556286.711,1644625.576,1723634.725,1809712.905,1913227.898,2060713.712,2202413.9,2346250.893,2492419.661,2646565.676,2781189.637,2895956.749
PAN,21657.70812,25257.9028,29002.8354,32157.68289,35511.44025,39627.22484,45624.7177,53564.46734,59403.96625,64703.65368,70599.31694,81661.94495,93312.19221,105407.022,119829.8144,135802.6927,156416.7738,208400.9813,288312.9225,379135.1213,507105.9589,602367.7645,695025.2432,807033.7166,916282.5856,1037250.074,1162211.647,1292905.04,1428297.846,1567668.517
VGB,7790.47394,19436.23623,27405.15741,32304.14484,34462.82735,34942.60148,35559.79867,37239.75852,39140.92512,44904.7457,52539.26788,59918.78966,67712.76387,73954.28726,78088.14248,84306.42647,87932.45868,89407.64368,89757.20006,90165.80574,90481.07542,90632.75174,90659.56156,90664.31976,90664.31976,90665.52555,90668.4698,90675.61356,90675.61356,90675.61356
CYM,26517.72353,48787.868,64615.40867,69962.08041,72568.42867,73828.03821,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562,73877.24562
NCL,13128.3833,20811.57401,25974.78963,35641.31965,46612.01822,68691.6892,87652.35526,109217.9029,128176.7362,147387.2945,164088.0802,175729.6706,184107.6674,191715.84,200670.5215,208295.5145,214179.9867,217924.4243,221238.5742,224401.1122,227503.4632,230471.3646,233668.3457,236919.4798,240557.4765,243989.151,247006.9529,249993.6122,252442.8482,254845.8401
CXR,1797.124955,2069.098158,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805,2069.104805
CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991170883,32.20165825,351.4458141
MEX,115503.2724,386817.0187,670434.2138,1034767.982,1373018.896,1674106.61,1847801.353,2023654.416,2123884.7,2247185.653,2317243.758,2392878.91,2415662.583,2445607.751,2478288.697,2502553.193,2520655.952,2547534.325,2591073.519,2621819.147,2653155.435,2683186.262,2738988.203,2801355.344,2851723.436,2904975.863,2942816.057,2969380.7,2994844.059,3036599.729
ASM,15954.89126,29971.71835,38531.76241,51528.77841,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487,56222.01487
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.8220604,20315.24186,29442.65328,37005.35381,45375.9306,59078.86287,66394.78204,71811.01619,75908.05787
TWN,21969.41511,32348.08357,36730.28968,39252.8105,42084.77135,45172.68909,51118.23383,55387.08664,59609.5231,62758.87022,68310.14677,76669.25702,90466.12374,103967.8338,118144.314,126360.4092,130413.7288,132696.4874,135057.5685,137311.3413,138123.9603,138962.5934,139679.338,140360.0643,140809.0959,141219.6603,141642.0849,142227.9861,143310.3288,144511.0805
PYF,4372.650922,5908.794437,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384,6213.773384
